1523409214.646666|short|no event tap functionality used|
1523409214.734370|LIC|idate 2018-04-11 01:13:34 +0000|
1523409214.738298|short|register all hotkeys|
1523409214.750273|LIC|closing previous instance of BetterTouchTool relaunch|
1523409214.756336|short|register disable hotkeys|
1523409214.757589|short|register disable hotkeys|
1523409214.758922|short|register all hotkeys|
1523409214.762889|LAUNCH|DIDLaunch|
1523409214.839313|ASL|new multitouch device recognized|
1523409214.839589|M|checking|
1523409214.842138|short|call sharedInstance4|
1523409214.854075|M|mt_stop10|
1523409214.854256|M|checking|
1523409214.856337|M|register internal trackpad|
1523409214.856561|STDEV|63|
1523409214.856613|swi|check device class|
1523409214.856623|swi|shortcuts used|
1523409216.124614|short|eventtap success|
1523409216.127531|short|register disable hotkeys|
1523409216.128887|short|register all hotkeys for current app|
1523409216.129617|short|register all hotkeys|
1523409216.922123|short|register all hotkeys for current app|
1523409216.923543|M|mt_stop2|
1523409216.923669|M|checking|
1523409216.924812|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523409216.925714|M|unregister internal trackpad|
1523409216.926542|ASL|disabling touch for internal trackpad (clamshell)|
1523409216.926772|M|checking|
1523409216.927427|M|register internal trackpad|
1523409216.927657|STDEV|63|
1523409216.930127|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523409216.932451|M|checking|
1523409217.917142|short|register all hotkeys for current app|
1523409260.137627|M|mt_stop2|
1523409260.137811|M|checking|
1523409260.139270|M|unregister internal trackpad|
1523409260.139779|M|checking|
1523409260.140400|M|register internal trackpad|
1523409260.140579|STDEV|63|
1523409469.350524|usage|loading todays usage|
1523409469.388514|ASL|[Crashlytics] Version 3.9.3 (128)|
1523409469.426165|short|init|
1523409469.426307|short|no event tap functionality used|
1523409469.484687|LIC|idate 2018-04-11 01:17:49 +0000|
1523409469.488829|short|register all hotkeys|
1523409469.502339|LIC|closing previous instance of BetterTouchTool relaunch|
1523409469.508854|short|register disable hotkeys|
1523409469.510278|short|register disable hotkeys|
1523409469.511635|short|register all hotkeys|
1523409469.515621|LAUNCH|DIDLaunch|
1523409469.570803|ASL|new multitouch device recognized|
1523409469.571100|M|checking|
1523409469.573747|short|call sharedInstance4|
1523409469.587248|M|mt_stop10|
1523409469.587459|M|checking|
1523409469.589525|M|register internal trackpad|
1523409469.589773|STDEV|63|
1523409469.589834|swi|check device class|
1523409469.589846|swi|shortcuts used|
1523409470.556435|short|eventtap success|
1523409470.564109|short|register disable hotkeys|
1523409470.564450|ASL|disabling touch for internal trackpad (clamshell)|
1523409470.565730|short|register all hotkeys for current app|
1523409470.566922|short|register all hotkeys|
1523409471.267121|short|register all hotkeys for current app|
1523409471.270224|M|mt_stop2|
1523409471.270648|M|checking|
1523409471.272087|M|unregister internal trackpad|
1523409471.272669|ASL|Bonjour Service Published: domain(local.) type(_bttremote._tcp.) name(lizzy) port(56900)|
1523409471.272734|M|checking|
1523409471.272797|M|checking|
1523409471.273401|M|register internal trackpad|
1523409471.273585|STDEV|63|
1523409471.590413|ASL|[Crashlytics:Crash] Warning: NSApplicationCrashOnExceptions is not set. This will result in poor top-level uncaught exception reporting.|
1523409472.732918|short|register all hotkeys for current app|
1523409515.174935|M|mt_stop2|
1523409515.175134|M|checking|
1523409515.176679|M|unregister internal trackpad|
1523409515.177574|M|checking|
1523409515.178235|M|register internal trackpad|
1523409515.178430|STDEV|63|
1523409725.696397|M|mt_stop2|
1523409725.696692|M|checking|
1523409725.698486|M|unregister internal trackpad|
1523409725.699382|M|checking|
1523409725.700338|M|register internal trackpad|
1523409725.700587|STDEV|63|
1523409725.829593|M|mt_stop2|
1523409725.829980|M|checking|
1523409725.831189|M|unregister internal trackpad|
1523409725.831942|M|checking|
1523409725.832834|M|register internal trackpad|
1523409725.833106|STDEV|63|
1523409727.863501|M|mt_stop2|
1523409727.863762|M|checking|
1523409727.865507|M|unregister internal trackpad|
1523409727.866362|M|checking|
1523409727.867232|M|register internal trackpad|
1523409727.867480|STDEV|63|
1523409731.113721|M|mt_stop2|
1523409731.113917|M|checking|
1523409731.115368|M|unregister internal trackpad|
1523409731.116154|M|checking|
1523409731.116743|M|register internal trackpad|
1523409731.116904|STDEV|63|
1523409736.130836|M|mt_stop2|
1523409736.131120|M|checking|
1523409736.132759|M|unregister internal trackpad|
1523409736.133674|M|checking|
1523409736.134624|M|register internal trackpad|
1523409736.134936|STDEV|63|
1523409771.197802|M|mt_stop2|
1523409771.198014|M|checking|
1523409771.199946|M|unregister internal trackpad|
1523409771.200827|M|checking|
1523409771.201798|M|register internal trackpad|
1523409771.202081|STDEV|63|
1523409980.702163|M|mt_stop2|
1523409980.702440|M|checking|
1523409980.704125|M|unregister internal trackpad|
1523409980.704943|M|checking|
1523409980.705903|M|register internal trackpad|
1523409980.706195|STDEV|63|
1523409980.831857|M|mt_stop2|
1523409980.832075|M|checking|
1523409980.833441|M|unregister internal trackpad|
1523409980.834274|M|checking|
1523409980.835125|M|register internal trackpad|
1523409980.835342|STDEV|63|
1523409982.786266|M|mt_stop2|
1523409982.786540|M|checking|
1523409982.788355|M|unregister internal trackpad|
1523409982.789188|M|checking|
1523409982.790057|M|register internal trackpad|
1523409982.790299|STDEV|63|
1523409985.919811|M|mt_stop2|
1523409985.920018|M|checking|
1523409985.921710|M|unregister internal trackpad|
1523409985.922579|M|checking|
1523409985.923461|M|register internal trackpad|
1523409985.923700|STDEV|63|
1523409991.337187|M|mt_stop2|
1523409991.337359|M|checking|
1523409991.338541|M|unregister internal trackpad|
1523409991.339109|M|checking|
1523409991.339723|M|register internal trackpad|
1523409991.339885|STDEV|63|
1523410026.220507|M|mt_stop2|
1523410026.220810|M|checking|
1523410026.222075|M|unregister internal trackpad|
1523410026.222841|M|checking|
1523410026.223709|M|register internal trackpad|
1523410026.223950|STDEV|63|
1523410236.703025|M|mt_stop2|
1523410236.703260|M|checking|
1523410236.704591|M|unregister internal trackpad|
